"262399_at" "AFFX-r2-Bs-dap-5_at"
"261410_at" "AFFX-DapX-5_at"
"260284_at" "AFFX-r2-Bs-lys-M_at"
"247149_at" "AFFX-r2-Bs-lys-3_at"
"251396_at" 
"259813_at" 
"259015_at" 
"264859_at" 
