"AT5G16970" "AT1G73220"
"AT2G12190" "AT4G13580"
"AT4G08410" "AT1G21890"
"AT1G13300" "AT5G44400"
"AT1G49860" "AT5G66390"
"AT3G54590" "AT3G28580"
"AT4G30140" NA
"AT1G53260" NA
"AT5G59170" NA
"AT1G56010" NA
"AT4G08380" NA
"AT3G54580" NA
"AT2G24980" NA
"AT1G24280" NA
"AT1G16170" NA
"AT1G23720" NA
"AT5G50200" NA
